enum_H,enum_ψREF,enum_pool,enum_method,nV,nH,seed_H,seed_ψREF,GL,G0,G1,G2,G∞,fidelity,distance
twolocal,entangled,twolocal,gibbs,1,1,1,1,10,14.0,2.068034798311688,0.7270564299748303,0.37449607037773225,0.9647837425596764,0.02519950334436062
twolocal,entangled,twolocal,gibbs,1,1,2,2,10,13.0,1.6138897836211965,0.9230958550206008,0.6520342758274251,0.9364186610069171,0.013645173419463835
twolocal,entangled,twolocal,gibbs,1,1,3,3,10,11.0,2.7793032655151686,1.0264655538283398,0.5992013306062955,0.8180198945040669,0.32082063815700496
twolocal,entangled,twolocal,gibbs,1,1,4,4,11,13.0,2.8124544010098083,0.9791079662497651,0.4679432251502967,0.5895759956436298,0.6344295112780893
twolocal,entangled,twolocal,gibbs,1,1,5,5,10,11.0,3.020715713893466,1.270327698810595,0.6940286920941151,0.7232813775414921,0.5877081279514806
twolocal,entangled,twolocal,gibbs,1,1,6,6,10,14.0,1.982905029073594,0.8874657431206383,0.5711533708288337,0.5476140368144062,0.5882710271665059
twolocal,entangled,twolocal,gibbs,1,1,7,7,10,12.0,2.466177366806917,1.0783099140070194,0.5682010762975813,0.7043000011297159,0.14308835046498722
twolocal,entangled,twolocal,gibbs,1,1,8,8,10,12.0,0.885624555382708,0.4457632441556407,0.30065388768738965,0.4250813571650987,0.865289140651673
twolocal,entangled,twolocal,gibbs,1,1,9,9,10,10.0,1.1980189099314522,0.6437748441195211,0.441793465125688,0.4595238097434725,0.8299654606838762
twolocal,entangled,twolocal,gibbs,1,1,10,10,10,12.0,2.024279545879275,0.9990925129723185,0.68443481062588,0.8395427197906888,0.11885476410846241
twolocal,entangled,twolocal,gibbs,1,1,11,11,10,12.0,3.5147166398893988,1.274264009095809,0.6464050506082606,0.8746030749106868,0.1191169024203797
twolocal,entangled,twolocal,gibbs,1,1,12,12,10,12.0,2.3677542991058966,0.8515016956138524,0.41223882870665846,0.5406252597671755,0.769483176046686
twolocal,entangled,twolocal,gibbs,1,1,13,13,10,12.0,3.551987983427328,1.1524798053209133,0.48798205550861906,0.6459738726595674,0.6215515924146137
twolocal,entangled,twolocal,gibbs,1,1,14,14,10,12.0,2.7740144886147178,1.0377949793422798,0.6008289096214665,0.8608375604970946,0.0019134660140917165
twolocal,entangled,twolocal,gibbs,1,1,15,15,10,14.0,2.9518430713310035,1.001683052946062,0.45407880783298693,0.8784301803189813,0.02431347318668374
twolocal,entangled,twolocal,gibbs,1,1,16,16,10,14.0,3.7987677620157725,1.3509642102782016,0.6203396942613923,0.8492699139478606,0.3282824015546467
twolocal,entangled,twolocal,gibbs,1,1,17,17,12,13.0,3.5455190247199453,1.2623067284029563,0.6661345373321484,0.6780274636950465,0.3095764890613417
twolocal,entangled,twolocal,gibbs,1,1,18,18,10,12.0,2.2752674076910444,0.8327660161440587,0.4884611177419821,0.9127507233543463,0.19092297410703407
twolocal,entangled,twolocal,gibbs,1,1,19,19,10,13.0,2.3130176510571867,0.9246257082101391,0.4989534327502359,0.9297443906339774,0.1714386364623316
twolocal,entangled,twolocal,gibbs,1,1,20,20,10,15.0,2.805456159068934,1.0510297811392213,0.5143354311243633,0.6459770383956881,0.3651483198710738
twolocal,entangled,twolocal,gibbs,2,2,1,1,51,54.0,3.4947588616440477,0.6082763350886656,0.2038345442111446,0.5420131901081688,0.3983791223098775
twolocal,entangled,twolocal,gibbs,2,2,2,2,51,54.0,4.159192313675031,0.7947700530441952,0.2993469626534405,0.788123330193523,0.13665623204076463
twolocal,entangled,twolocal,gibbs,2,2,3,3,51,59.0,4.884531968504288,1.0200071290414199,0.4736950027089672,0.5772033638540099,0.7167783087551399
twolocal,entangled,twolocal,gibbs,2,2,4,4,51,55.0,5.259058692422488,1.0495581217266023,0.45350979292893384,0.6752072523759763,0.4014841978952678
twolocal,entangled,twolocal,gibbs,2,2,5,5,52,56.0,3.5408993172544725,0.7280910932521917,0.22420612602929268,0.4831376930626155,0.7999415788971305
twolocal,entangled,twolocal,gibbs,2,2,6,6,51,55.0,3.179671243873299,0.7638739447428187,0.35381856538862555,0.716262385504482,0.4777530095093152
twolocal,entangled,twolocal,gibbs,2,2,7,7,51,57.0,3.670336800853835,0.8209199924769113,0.3325219239526302,0.5394217375693519,0.5718050883467518
twolocal,entangled,twolocal,gibbs,2,2,8,8,51,59.0,2.2914898380397783,0.4930046243553539,0.2224882772158059,0.7637146080607289,0.21975172435828857
twolocal,entangled,twolocal,gibbs,2,2,9,9,51,54.0,2.737735007926478,0.6319060690531516,0.2673248368533108,0.5267440995895339,0.7344410989526062
twolocal,entangled,twolocal,gibbs,2,2,10,10,51,52.0,3.695192777741377,0.6587691518561574,0.21096466181841733,0.554584370663075,0.3059952770875647
twolocal,entangled,twolocal,gibbs,2,2,11,11,51,55.0,4.463961990781809,0.8221473948430351,0.30613040727656676,0.6847397555485106,0.47819943661222747
twolocal,entangled,twolocal,gibbs,2,2,12,12,51,53.0,3.7126825153626672,0.8004765315277043,0.3699431129480709,0.5700761248112306,0.7504555936590078
twolocal,entangled,twolocal,gibbs,2,2,13,13,51,54.0,3.2971369275167786,0.6626712916998726,0.3186578667609342,0.587284401003924,0.6138219542336439
twolocal,entangled,twolocal,gibbs,2,2,14,14,51,52.0,3.1810805906591777,0.7602942170481041,0.3685684611513742,0.5648222753333031,0.3052805191180473
twolocal,entangled,twolocal,gibbs,2,2,15,15,51,57.0,4.087476225762691,0.7890701012145278,0.3532404335324405,0.6770588382004983,0.3743783290586113
twolocal,entangled,twolocal,gibbs,2,2,16,16,51,51.0,5.171752760046505,0.9216080794408884,0.33005726380201766,0.6938561165751377,0.38245232612979363
twolocal,entangled,twolocal,gibbs,2,2,17,17,51,52.0,5.193629498889959,0.9472125031734703,0.36707435242156317,0.4815943543290523,0.3015485400341026
twolocal,entangled,twolocal,gibbs,2,2,18,18,51,52.0,2.3646323813320436,0.43281502417756235,0.1415781746026575,0.8600485816427956,0.15206623756351836
twolocal,entangled,twolocal,gibbs,2,2,19,19,51,61.0,2.762241983320055,0.6222248512115779,0.23367652589057275,0.7463932557999172,0.17715236501842907
twolocal,entangled,twolocal,gibbs,2,2,20,20,51,53.0,3.60316625896706,0.7678081448561346,0.3395267932949513,0.6392873064267142,0.2237404415715734
twolocal,entangled,twolocal,gibbs,3,3,1,1,117,130.0,4.130469061553302,0.5189428804022692,0.16446073399498135,0.5465103987842521,0.4837860108891166
twolocal,entangled,twolocal,gibbs,3,3,2,2,117,132.0,2.529420948070289,0.3681075016050542,0.11665961522129431,0.451360414899783,0.38637789378091086
twolocal,entangled,twolocal,gibbs,3,3,3,3,117,127.0,2.4711956367933334,0.372029522833081,0.12413680068197941,0.5553402226166512,0.5614661886109543
twolocal,entangled,twolocal,gibbs,3,3,4,4,117,133.0,4.507775480243497,0.6161362503246987,0.19677059458274607,0.45668129457437856,0.7220728542557918
twolocal,entangled,twolocal,gibbs,3,3,5,5,117,121.0,1.8884816421273642,0.28351197520942206,0.08654297031966224,0.4672956714918546,0.6880736860986318
twolocal,entangled,twolocal,gibbs,3,3,6,6,117,124.0,3.137084464646681,0.41732300441168885,0.1155134422837002,0.4593262030430083,0.6845857138905294
twolocal,entangled,twolocal,gibbs,3,3,7,7,118,138.0,3.469104549131788,0.45306278813748985,0.1357529952293483,0.41465600154153986,0.7833548165408017
twolocal,entangled,twolocal,gibbs,3,3,8,8,117,119.0,1.6810161878285164,0.24228101352226583,0.07213938362199634,0.4951791022787247,0.20518514061795623
twolocal,entangled,twolocal,gibbs,3,3,9,9,117,140.0,1.8188904011196994,0.30826970424589367,0.15491967425420722,0.3896735003609408,0.7969135156383134
twolocal,entangled,twolocal,gibbs,3,3,10,10,117,135.0,5.059420783088706,0.7725665646679141,0.3626571244700837,0.5773401535192902,0.5774512025763148
twolocal,entangled,twolocal,gibbs,3,3,11,11,117,136.0,4.889403026193644,0.6159286512712807,0.19015893788401522,0.4936653926873189,0.6121641709248322
twolocal,entangled,twolocal,gibbs,3,3,12,12,117,132.0,2.628080836828465,0.3445412594456069,0.10472917189654554,0.4242509978040069,0.6788068450002872
twolocal,entangled,twolocal,gibbs,3,3,13,13,117,125.0,5.133143536887075,0.6819802521899753,0.22795277075456583,0.4291158359345682,0.7359143567853859
twolocal,entangled,twolocal,gibbs,3,3,14,14,117,117.0,4.1420790901319355,0.5297810995146724,0.159473731970529,0.5029276373169863,0.5641135997112878
twolocal,entangled,twolocal,gibbs,3,3,15,15,117,120.0,2.2211740806552385,0.3256502355861388,0.14904205153526554,0.3423000255006471,0.5007485818780064
twolocal,entangled,twolocal,gibbs,3,3,16,16,117,127.0,1.3847557623820754,0.20052712981966078,0.06203379542442461,0.422725307312586,0.39252708698944616
twolocal,entangled,twolocal,gibbs,3,3,17,17,117,142.0,4.869924957432023,0.6939176532722747,0.24013541019464674,0.4356727456602937,0.7504528958987682
twolocal,entangled,twolocal,gibbs,3,3,18,18,117,142.0,2.6658467664464696,0.40416439260005793,0.1606238767074109,0.41251439497653425,0.7586851479899944
twolocal,entangled,twolocal,gibbs,3,3,19,19,117,126.0,1.7764269995035258,0.27990296099561524,0.09463510514540677,0.43697980462498404,0.48778968264580774
twolocal,entangled,twolocal,gibbs,3,3,20,20,117,117.0,3.0824780618075485,0.43176925635346913,0.12772353725345126,0.3945889583207193,0.23956125081964397
twolocal,entangled,twolocal,gibbs,4,4,1,1,210,220.0,1.4782954372232926,0.1739504451692609,0.048823955245031914,0.35801090890136184,0.5091742896981791
twolocal,entangled,twolocal,gibbs,4,4,2,2,210,238.0,1.6302596653732484,0.21075741237470788,0.05674099565972901,0.3860000868434578,0.5014833864009238
twolocal,entangled,twolocal,gibbs,4,4,3,3,210,220.0,1.6472190834860339,0.18588014713277806,0.039372913176590085,0.3243895722819694,0.7313331889593009
twolocal,entangled,twolocal,gibbs,4,4,4,4,210,226.0,1.7064185553757385,0.17931334007310665,0.04429355533271262,0.38482425841867773,0.3978599964864593
twolocal,entangled,twolocal,gibbs,4,4,5,5,210,224.0,1.584765656988715,0.16955619530741584,0.04565946028182957,0.31166270558940734,0.707429509702538
twolocal,entangled,twolocal,gibbs,4,4,6,6,210,241.0,1.2895427506672656,0.1384387723292273,0.037829831644464906,0.30980798017679756,0.7037857593762732
twolocal,entangled,twolocal,gibbs,4,4,7,7,210,226.0,3.479958664628509,0.503763574366545,0.25662082258099606,0.3292915797624886,0.7269479631406583
twolocal,entangled,twolocal,gibbs,4,4,8,8,210,241.0,1.1146574383264434,0.12585448068250615,0.03975599471456301,0.3001614094636598,0.6619812469277669
twolocal,entangled,twolocal,gibbs,4,4,9,9,210,229.0,1.687947066934268,0.19013533214077666,0.05528869481121687,0.3055341030216668,0.8300745318984335
twolocal,entangled,twolocal,gibbs,4,4,10,10,210,225.0,2.526645204523125,0.4217049566139459,0.23921751057366306,0.29956316299360203,0.7836215373857682
twolocal,entangled,twolocal,gibbs,4,4,11,11,210,221.0,4.071368368436821,0.5180600442968676,0.2070406033241638,0.329679707319683,0.7623415144220047
twolocal,entangled,twolocal,gibbs,4,4,12,12,210,224.0,1.256232797459393,0.14581539465294877,0.03797128942102926,0.3431658578569012,0.5756592992279718
twolocal,entangled,twolocal,gibbs,4,4,13,13,210,240.0,3.224997938971431,0.3640317670404673,0.14860959617322905,0.37155180619558253,0.738381347110622
twolocal,entangled,twolocal,gibbs,4,4,14,14,210,239.0,4.760723758587522,0.5680297966930982,0.23638249270744038,0.38710381020595996,0.684011950676734
twolocal,entangled,twolocal,gibbs,4,4,15,15,210,219.0,2.2548307292413834,0.2760748352554535,0.12001535141427261,0.2769700965452646,0.526057140358201
twolocal,entangled,twolocal,gibbs,4,4,16,16,210,226.0,2.015013564096951,0.20292898331315817,0.050384519744749334,0.3476851885963485,0.6781405047618179
twolocal,entangled,twolocal,gibbs,4,4,17,17,210,243.0,5.643076112568823,0.6308944395142962,0.22591702663114366,0.4046009058562469,0.7651422696609613
twolocal,entangled,twolocal,gibbs,4,4,18,18,210,228.0,3.477020236813013,0.4219313092943325,0.1902330969090852,0.3549959687282252,0.7575618927823347
twolocal,entangled,twolocal,gibbs,4,4,19,19,210,214.0,1.7678229184172558,0.21004677452895312,0.06204390251931377,0.3889280888517257,0.6750364541250103
twolocal,entangled,twolocal,gibbs,4,4,20,20,210,221.0,3.613874029659839,0.3473456274857771,0.06668272782794116,0.3611055443896329,0.48554179990172963
twolocal,entangled,twolocal,gibbs,5,5,1,1,330,370.0,0.6705875995431518,0.08072289363480507,0.033112715198666154,0.22936204819161363,0.3645445997599943
twolocal,entangled,twolocal,gibbs,5,5,2,2,330,377.0,0.6383094832783394,0.05509771395365735,0.010160604248254379,0.19906193489388913,0.6167040057173983
twolocal,entangled,twolocal,gibbs,5,5,3,3,330,375.0,0.6180140359769,0.056399684236997406,0.013825788737596628,0.21605066525730326,0.8718246859332146
twolocal,entangled,twolocal,gibbs,5,5,4,4,330,361.0,1.080590684609386,0.11198479628384365,0.030162435116168396,0.25533519395178894,0.43730940349662806
twolocal,entangled,twolocal,gibbs,5,5,5,5,330,396.0,1.2853357356560435,0.12866999392652248,0.03676727866890431,0.24955786309089203,0.779222837288393
twolocal,entangled,twolocal,gibbs,5,5,6,6,330,376.0,1.039767786950228,0.0959594999187503,0.022620754348752325,0.2482865212011954,0.7904514479886181
twolocal,entangled,twolocal,gibbs,5,5,7,7,330,348.0,1.2234660844341518,0.10083892211330565,0.01809503694685838,0.2497625484952472,0.644848320258897
twolocal,entangled,twolocal,gibbs,5,5,8,8,330,376.0,1.294294758854841,0.11144443609267544,0.03614312195868241,0.2539421588647456,0.744431239440235
twolocal,entangled,twolocal,gibbs,5,5,9,9,332,376.0,1.7389158976438988,0.14269996681494923,0.02415152310020846,0.19692111984989882,0.922807978672467
twolocal,entangled,twolocal,gibbs,5,5,10,10,330,351.0,1.5913859192342694,0.13247176326966495,0.03777440842337429,0.3022571536316547,0.650156930576921
twolocal,entangled,twolocal,gibbs,5,5,11,11,330,392.0,2.3239913444159326,0.22628556229347763,0.10005627906909417,0.2722006696765173,0.72979016895147
twolocal,entangled,twolocal,gibbs,5,5,12,12,330,362.0,0.8319662183316862,0.08682458157780834,0.026294461591362894,0.2550149743901689,0.7847079603959171
twolocal,entangled,twolocal,gibbs,5,5,13,13,330,380.0,2.0108031849662145,0.2185541668601732,0.08109236590042684,0.21373029062792076,0.827060129925383
twolocal,entangled,twolocal,gibbs,5,5,14,14,330,381.0,4.353033033550983,0.40542153291386085,0.1299886414807142,0.2827106902249088,0.7409387978513537
twolocal,entangled,twolocal,gibbs,5,5,15,15,330,344.0,1.0809935827858936,0.08867252505838433,0.018163083567960397,0.2691717390866257,0.4759788370683122
twolocal,entangled,twolocal,gibbs,5,5,16,16,330,398.0,1.9612756241463245,0.20571036013167107,0.09132383181733561,0.281122841602744,0.7384713110614327
twolocal,entangled,twolocal,gibbs,5,5,17,17,330,346.0,3.536820884619422,0.36819015268925503,0.15180217442840477,0.2573003322507867,0.8050573043475608
twolocal,entangled,twolocal,gibbs,5,5,18,18,330,377.0,1.300966080646735,0.11104858286636293,0.0334557850712513,0.247141744709756,0.7918179979515072
twolocal,entangled,twolocal,gibbs,5,5,19,19,330,352.0,1.0964922485485413,0.10625809035955833,0.01984130673784773,0.23675292659636538,0.4778259756347097
twolocal,entangled,twolocal,gibbs,5,5,20,20,333,386.0,1.5955409104472131,0.1537556743802078,0.05733070711047328,0.19190117986617983,0.7297082466739664
twolocal,entangled,twolocal,gibbs,6,6,1,1,477,545.0,0.5033094883556074,0.035129445243703365,0.0063134520573985,0.15779301965185125,0.7096140976300718
