enum_H,enum_ψREF,enum_pool,enum_method,nV,nH,seed_H,seed_ψ,numparams,numiters,runtime,purity,entropy,distance,fidelity,maxpoolgradient
twolocal,entangled,twolocal,gibbs,3,3,11,11,1,0,0.0,0.0,0.0,0.0,0.2779281550259143,0.1901589378840152
twolocal,entangled,twolocal,gibbs,3,3,11,11,2,0,0.0,0.0,0.0,0.0,0.4224487368571048,0.1490128165255889
twolocal,entangled,twolocal,gibbs,3,3,11,11,3,0,0.0,0.0,0.0,0.0,0.5518284953255632,0.16822866061116787
twolocal,entangled,twolocal,gibbs,3,3,11,11,4,0,0.0,0.0,0.0,0.0,0.567037312567875,0.15422046291343433
twolocal,entangled,twolocal,gibbs,3,3,11,11,5,0,0.0,0.0,0.0,0.0,0.5946133885072453,0.12352305171222486
twolocal,entangled,twolocal,gibbs,3,3,11,11,6,0,0.0,0.0,0.0,0.0,0.6585165272849148,0.15020570166102937
twolocal,entangled,twolocal,gibbs,3,3,11,11,7,0,0.0,0.0,0.0,0.0,0.6715459108760661,0.10981226402024852
twolocal,entangled,twolocal,gibbs,3,3,11,11,8,0,0.0,0.0,0.0,0.0,0.6901195346839331,0.06808724486218684
twolocal,entangled,twolocal,gibbs,3,3,11,11,9,0,0.0,0.0,0.0,0.0,0.7186532390332404,0.056443487845902536
twolocal,entangled,twolocal,gibbs,3,3,11,11,10,0,0.0,0.0,0.0,0.0,0.7207151615934333,0.0430523575224692
twolocal,entangled,twolocal,gibbs,3,3,11,11,11,0,0.0,0.0,0.0,0.0,0.7276515639303023,0.042520367715061895
twolocal,entangled,twolocal,gibbs,3,3,11,11,12,0,0.0,0.0,0.0,0.0,0.7617009653615737,0.03719248886808679
twolocal,entangled,twolocal,gibbs,3,3,11,11,13,0,0.0,0.0,0.0,0.0,0.7637383840008942,0.03642748493292348
twolocal,entangled,twolocal,gibbs,3,3,11,11,14,0,0.0,0.0,0.0,0.0,0.7763962168560575,0.03219264715896705
twolocal,entangled,twolocal,gibbs,3,3,11,11,15,0,0.0,0.0,0.0,0.0,0.8058443536758866,0.025946439660626035
twolocal,entangled,twolocal,gibbs,3,3,11,11,16,0,0.0,0.0,0.0,0.0,0.8175638110120916,0.03393207766019525
twolocal,entangled,twolocal,gibbs,3,3,11,11,17,0,0.0,0.0,0.0,0.0,0.8259517719657099,0.023522963301475224
twolocal,entangled,twolocal,gibbs,3,3,11,11,18,0,0.0,0.0,0.0,0.0,0.8279458201661603,0.021011935526992258
twolocal,entangled,twolocal,gibbs,3,3,11,11,19,0,0.0,0.0,0.0,0.0,0.8297081916525098,0.015695626669382838
twolocal,entangled,twolocal,gibbs,3,3,11,11,20,0,0.0,0.0,0.0,0.0,0.8394570909551944,0.011206656853708839
twolocal,entangled,twolocal,gibbs,3,3,11,11,21,0,0.0,0.0,0.0,0.0,0.8423708942729169,0.012085938918951131
twolocal,entangled,twolocal,gibbs,3,3,11,11,22,0,0.0,0.0,0.0,0.0,0.8531801948811233,0.014080834686953755
