enum_H,enum_ψREF,enum_pool,enum_method,nV,nH,seed_H,seed_ψ,numparams,numiters,runtime,purity,entropy,distance,fidelity
twolocal,entangled,twolocal,overlap,2,1,1,1,0,0,0.0,0.638986863977834,0.5468757906822903,0.4131247099850422,0.5555057539529138
twolocal,entangled,twolocal,overlap,2,1,1,1,1,6,0.06296420097351074,0.6796818021104234,0.5007699629069507,0.16845644156403544,0.6865537399039864
twolocal,entangled,twolocal,overlap,2,1,1,1,2,13,0.0765070915222168,0.5792228717741038,0.611687128189208,0.043918815637055936,0.8666068065949057
twolocal,entangled,twolocal,overlap,2,1,1,1,3,18,0.08307194709777832,0.5704660338189891,0.6209249586437373,0.05724544081688816,0.8871147058861438
twolocal,entangled,twolocal,overlap,2,1,1,1,4,28,0.11376404762268066,0.5563880373854619,0.6356483534935333,0.05540544158127561,0.9095736386920619
twolocal,entangled,twolocal,overlap,2,1,1,1,5,41,0.1725170612335205,0.5819864774736458,0.6087587565762627,0.05575032873002611,0.9203740134272801
twolocal,entangled,twolocal,overlap,2,1,1,1,6,50,0.199937105178833,0.5656983243184783,0.6259286793003243,0.05591897707686752,0.9226857899727905
twolocal,entangled,twolocal,overlap,2,1,1,1,7,68,0.3060121536254883,0.5751903769352151,0.6159488285862126,0.05972561535621557,0.9232666638443823
twolocal,entangled,twolocal,overlap,2,1,1,1,8,97,0.5527572631835938,0.5690343848634565,0.622429375088747,0.05125711667438608,0.9236669377451213
twolocal,entangled,twolocal,overlap,2,1,1,1,9,149,1.080930233001709,0.5704498573572487,0.6209419664577736,0.044980923457900085,0.9238033378323752
twolocal,entangled,twolocal,overlap,2,1,1,1,10,192,1.5681161880493164,0.56824183356641,0.623261507813128,0.041790261519304414,0.9238668784328286
twolocal,entangled,twolocal,overlap,2,1,1,1,11,227,1.9983761310577393,0.5680000462254283,0.623515271053904,0.044295362631062735,0.9238719857663598
