enum_H,enum_ψREF,enum_pool,enum_method,nV,nH,seed_H,seed_ψ,numparams,numiters,runtime,purity,entropy,distance,fidelity
twolocal,entangled,twolocal,overlap,2,1,6,6,0,0,0.0,0.9820793882721883,0.05155182245604672,0.6526657095524075,0.4952748591182425
twolocal,entangled,twolocal,overlap,2,1,6,6,1,3,0.0007178783416748047,0.9820793882721881,0.051551822456046156,0.5712361351075936,0.6211541863846044
twolocal,entangled,twolocal,overlap,2,1,6,6,2,9,0.0027010440826416016,0.5871908189369548,0.6032269748419621,0.19921969991753555,0.8503637869697651
twolocal,entangled,twolocal,overlap,2,1,6,6,3,15,0.004178047180175781,0.5663537948566516,NaN,0.06583232766539954,0.8925586425447481
twolocal,entangled,twolocal,overlap,2,1,6,6,4,21,0.006038188934326172,0.5594739664880263,0.6324342021456836,0.09366764779709104,0.9031477791718298
twolocal,entangled,twolocal,overlap,2,1,6,6,5,28,0.00894021987915039,0.5860448533203941,0.6044469777196735,0.10100449341771436,0.9107299495252738
twolocal,entangled,twolocal,overlap,2,1,6,6,6,35,0.011674165725708008,0.5639815958674024,0.6277259858257028,0.10230285491967342,0.9157303908743715
twolocal,entangled,twolocal,overlap,2,1,6,6,7,43,0.015736103057861328,0.5685838250061237,0.6229024979811275,0.10320045249684709,0.9225008779691664
twolocal,entangled,twolocal,overlap,2,1,6,6,8,51,0.019991159439086914,0.5617707337568297,0.6300372115239224,0.0715559254596037,0.9281582702877527
twolocal,entangled,twolocal,overlap,2,1,6,6,9,60,0.03871297836303711,0.5613462212431886,0.6304805577709498,0.07394718601875025,0.9289396398895815
twolocal,entangled,twolocal,overlap,2,1,6,6,10,70,0.04683089256286621,0.5611976222965199,NaN,0.06812735913841551,0.9290908535202634
twolocal,entangled,twolocal,overlap,2,1,6,6,11,81,0.05776500701904297,0.561709192287171,0.6301014920285373,0.06796989813557809,0.9291702883317651
