enum_H,enum_ψREF,enum_pool,enum_method,nV,nH,seed_H,seed_ψ,numparams,numiters,runtime,purity,entropy,distance,fidelity,maxpoolgradient
twolocal,entangled,twolocal,overlap,3,3,9,9,0,0,0.0,0.6964547565088435,0.4812368360625434,0.7969135156383133,0.3896735005319967,0.11247280249699664
twolocal,entangled,twolocal,overlap,3,3,9,9,1,4,0.03362703323364258,0.696454756508843,0.48123683606254275,0.6304307050355703,0.4898434902518706,0.19524419529091133
twolocal,entangled,twolocal,overlap,3,3,9,9,2,10,0.17243099212646484,0.6964547565088437,0.48123683606254086,0.44902727162602746,0.6265761780411819,0.148797220518079
twolocal,entangled,twolocal,overlap,3,3,9,9,3,16,0.3574488162994385,0.7531594166016496,0.42065950975195165,0.3734447584384217,0.6548402326286278,0.333931396308453
twolocal,entangled,twolocal,overlap,3,3,9,9,4,30,1.171449899673462,0.4737551265854295,0.9664652885443398,0.23403522057310916,0.8018037935815744,0.20808851460680333
twolocal,entangled,twolocal,overlap,3,3,9,9,5,38,1.52109694480896,0.44322785062536385,1.0104408888920458,0.2786628330695614,0.8309712044642018,0.18933845655769796
twolocal,entangled,twolocal,overlap,3,3,9,9,6,47,2.0806808471679688,0.4190646204099775,1.0502404390693636,0.2561915158143588,0.8498822993668822,0.11878447646520304
twolocal,entangled,twolocal,overlap,3,3,9,9,7,56,2.324551820755005,0.4183549493438105,1.0520763961239425,0.2620534208530042,0.8566508676006258,0.10921684916001417
twolocal,entangled,twolocal,overlap,3,3,9,9,8,66,2.9681897163391113,0.42194416717983,1.046983724997053,0.251843656974929,0.8610854943946621,0.10714605138151548
twolocal,entangled,twolocal,overlap,3,3,9,9,9,76,3.583261489868164,0.41104240009700876,1.0605293394640656,0.21909048122092586,0.8647736138425972,0.11002201836917917
twolocal,entangled,twolocal,overlap,3,3,9,9,10,89,4.3083555698394775,0.3113118014929789,1.318163021337888,0.10369639500118183,0.9151389142062936,0.21687445345290196
twolocal,entangled,twolocal,overlap,3,3,9,9,11,103,5.466103553771973,0.24975469249842722,1.6124772331981267,0.10105802489589794,0.9567522741944883,0.11199981723468798
twolocal,entangled,twolocal,overlap,3,3,9,9,12,118,7.751774549484253,0.22872032848112073,1.675972876274106,0.10094766814597927,0.9642925631681998,0.09360008165098044
twolocal,entangled,twolocal,overlap,3,3,9,9,13,134,9.035869598388672,0.22377880997556415,1.704401600637402,0.12326464834616682,0.9678348215490807,0.10144481722664561
twolocal,entangled,twolocal,overlap,3,3,9,9,14,152,11.92750859260559,0.22105964156174968,1.704824489900585,0.0804737820142912,0.9783012115980636,0.11038583072825763
twolocal,entangled,twolocal,overlap,3,3,9,9,15,168,13.91455364227295,0.2172777432286163,1.7296994682973232,0.047671078528929926,0.9819492123631102,0.08000607654288364
twolocal,entangled,twolocal,overlap,3,3,9,9,16,184,15.922303676605225,0.21421938559545567,1.7369962603494367,0.053067991005097404,0.9830174831772872,0.07584584431185205
twolocal,entangled,twolocal,overlap,3,3,9,9,17,200,17.778124809265137,0.21583450564363446,1.7333114962952676,0.05265962476245677,0.9842884331133628,0.05635442021409397
twolocal,entangled,twolocal,overlap,3,3,9,9,18,217,21.262791872024536,0.21891508487420994,1.723778973473817,0.04896083299896694,0.9848765588802092,0.05461626268161575
twolocal,entangled,twolocal,overlap,3,3,9,9,19,235,24.65941882133484,0.21962736502309604,1.7184011574917595,0.04493696108807575,0.9862428537284248,0.05077028302518846
twolocal,entangled,twolocal,overlap,3,3,9,9,20,252,27.56215476989746,0.220638971043536,1.7183081724575382,0.04188205759119551,0.9868084566444686,0.05228152717904085
twolocal,entangled,twolocal,overlap,3,3,9,9,21,270,29.787298679351807,0.22175470743760628,1.7133996524641446,0.0370522511334601,0.9880230970521761,0.05342730732654059
twolocal,entangled,twolocal,overlap,3,3,9,9,22,288,34.01384472846985,0.22072503545902808,1.7169335845306202,0.033426396968035774,0.9887320356128546,0.05149965061394642
twolocal,entangled,twolocal,overlap,3,3,9,9,23,308,39.32324552536011,0.22093812363259124,1.7234556162644852,0.020977419475446322,0.9894921765308744,0.04975508901977444
twolocal,entangled,twolocal,overlap,3,3,9,9,24,328,42.84105443954468,0.2224588026220635,1.7148983194808756,0.021187867152140754,0.9904175301087443,0.04531032915602893
twolocal,entangled,twolocal,overlap,3,3,9,9,25,348,46.063883543014526,0.22342842952781805,1.709142880594232,0.016790741733599387,0.9915749300522888,0.0420947262639658
twolocal,entangled,twolocal,overlap,3,3,9,9,26,370,52.902506589889526,0.22693435217134567,1.7013189660800356,0.022433333752689712,0.9926319481161732,0.04569872443796463
twolocal,entangled,twolocal,overlap,3,3,9,9,27,391,58.55198550224304,0.22564531472289448,1.7034984004142268,0.022818591964063696,0.9930410370872244,0.039876213778623174
twolocal,entangled,twolocal,overlap,3,3,9,9,28,410,61.420610427856445,0.22669783077484046,1.6995394148954326,0.019081438144915107,0.9934852269066804,0.03482312099699026
twolocal,entangled,twolocal,overlap,3,3,9,9,29,431,68.17647242546082,0.22634211898449308,1.7008826991490706,0.01521838761977306,0.9941261461686944,0.04180567183056114
twolocal,entangled,twolocal,overlap,3,3,9,9,30,453,75.14756631851196,0.22638247487773214,1.6983263217596583,0.012324868089900073,0.9948054145335217,0.037711059529148834
twolocal,entangled,twolocal,overlap,3,3,9,9,31,475,79.27115321159363,0.22422200748610163,1.7047848869187667,0.01347961791749282,0.995647888654934,0.034096633372907394
twolocal,entangled,twolocal,overlap,3,3,9,9,32,496,85.51171708106995,0.2240806711199568,1.7071405250592795,0.015442646451046173,0.9962557397529611,0.03543056918077562
twolocal,entangled,twolocal,overlap,3,3,9,9,33,519,91.35288214683533,0.2289871347384393,1.6953255854608162,0.016356019282715344,0.9968074657429751,0.02718502590149885
twolocal,entangled,twolocal,overlap,3,3,9,9,34,544,98.60999703407288,0.22915563866419641,1.6994581522205237,0.014370084361513547,0.9975475860149698,0.022549580881808612
twolocal,entangled,twolocal,overlap,3,3,9,9,35,569,104.90543222427368,0.2294622682112335,1.6975011689972834,0.016822333618322843,0.9978401499358291,0.02080631729175013
twolocal,entangled,twolocal,overlap,3,3,9,9,36,595,111.21955013275146,0.22914690535136337,1.697595994075482,0.014235907373578997,0.9981266939671709,0.020782836802490285
twolocal,entangled,twolocal,overlap,3,3,9,9,37,621,119.9606351852417,0.22933025123940132,1.6987583647061917,0.011749478710180256,0.9983309890004671,0.017054486347051638
twolocal,entangled,twolocal,overlap,3,3,9,9,38,648,127.38666915893555,0.23114720808769643,1.6958966335913188,0.01331070349885935,0.9987280793874839,0.019799452128119475
twolocal,entangled,twolocal,overlap,3,3,9,9,39,675,138.77231812477112,0.23085260169801686,1.6959456731410547,0.013889944556927672,0.9988942379693186,0.01649169711548005
twolocal,entangled,twolocal,overlap,3,3,9,9,40,704,148.56614208221436,0.23195326536252428,1.6921259601446788,0.011467520855215973,0.9991382465318952,0.015527527858496353
twolocal,entangled,twolocal,overlap,3,3,9,9,41,734,160.858549118042,0.23202863761347942,1.6914141677952226,0.009220244025969722,0.9992570094689153,0.014805080648367986
twolocal,entangled,twolocal,overlap,3,3,9,9,42,764,171.2138991355896,0.2325646248205004,1.6891062619287391,0.009313382627392053,0.999366908457685,0.015597093326298175
twolocal,entangled,twolocal,overlap,3,3,9,9,43,791,182.20889019966125,0.23253838132681948,1.6882949132811507,0.010885459691347552,0.999476912433405,0.012872344270915072
twolocal,entangled,twolocal,overlap,3,3,9,9,44,822,192.98667526245117,0.2324942453792716,1.6889386606193337,0.008914458508507368,0.9995677238334003,0.011492501990731279
twolocal,entangled,twolocal,overlap,3,3,9,9,45,855,206.97364926338196,0.23271130846360866,1.6891300020708353,0.0075451630481885475,0.9997379656823606,0.008174595807922984
