enum_H,enum_ψREF,enum_pool,enum_method,nV,nH,seed_H,seed_ψ,numparams,numiters,runtime,purity,entropy,distance,fidelity
twolocal,entangled,twolocal,renyi,4,2,3,3,0,0,0.0,0.5712689365729949,0.6200805295053816,0.8242597649279045,0.29263341057075065
twolocal,entangled,twolocal,renyi,4,2,3,3,1,4,0.014436006546020508,0.5637403192652573,0.6279784067763702,0.8242597649279045,0.2948466015143612
twolocal,entangled,twolocal,renyi,4,2,3,3,2,10,0.06795501708984375,0.5506894227833661,0.6415645414963472,0.7027936293220266,0.393440081552564
twolocal,entangled,twolocal,renyi,4,2,3,3,3,16,0.13625383377075195,0.5715729490296687,0.6197606618882182,0.7027936293220266,0.39220341193471603
twolocal,entangled,twolocal,renyi,4,2,3,3,4,24,0.2313547134399414,0.5692653849800724,0.6221867485802619,0.5457554628758945,0.41004664839964955
twolocal,entangled,twolocal,renyi,4,2,3,3,5,34,0.3716247081756592,0.5673219559496341,0.6242267045326891,0.19120914515736326,0.46408152837608685
twolocal,entangled,twolocal,renyi,4,2,3,3,6,45,0.5553905963897705,0.6189212021122136,0.5689961582181062,0.15595238317537904,0.4755561534778365
twolocal,entangled,twolocal,renyi,4,2,3,3,7,57,0.8019614219665527,0.568683630655881,0.7324681178360459,0.3171568078851949,0.5219034036616113
twolocal,entangled,twolocal,renyi,4,2,3,3,8,70,1.1314704418182373,0.5797357951908376,0.7169983135191592,0.3016271619054983,0.5415559927725125
twolocal,entangled,twolocal,renyi,4,2,3,3,9,83,1.4726693630218506,0.5800712333416665,0.7186246772078031,0.3057491534960318,0.5414609410959734
twolocal,entangled,twolocal,renyi,4,2,3,3,10,96,1.8474383354187012,0.5843141203706689,0.7156332428560026,0.29971208868641197,0.5476209064847984
twolocal,entangled,twolocal,renyi,4,2,3,3,11,113,2.421124219894409,0.5924486914876478,0.7187682128033993,0.3373602252304187,0.5489151203134326
twolocal,entangled,twolocal,renyi,4,2,3,3,12,130,3.045457363128662,0.6017845022634851,0.6944716319427688,0.3135447129559509,0.5436478814291303
twolocal,entangled,twolocal,renyi,4,2,3,3,13,150,3.8374812602996826,0.5350104454888284,0.8318642190820841,0.22599519674447552,0.5708856483510539
twolocal,entangled,twolocal,renyi,4,2,3,3,14,167,4.5686681270599365,0.5347807971871638,0.8316457195127229,0.19968036294821576,0.5732929657213166
twolocal,entangled,twolocal,renyi,4,2,3,3,15,186,5.400602102279663,0.5446050295264614,0.81788239626586,0.19753803497888617,0.5772504507567202
twolocal,entangled,twolocal,renyi,4,2,3,3,16,206,6.33922815322876,0.3879512968247057,1.128209546700979,0.18651711137703827,0.6119506398024656
twolocal,entangled,twolocal,renyi,4,2,3,3,17,228,7.4101152420043945,0.38922336890672504,1.1265992199512473,0.1798997382796254,0.6225718107370913
twolocal,entangled,twolocal,renyi,4,2,3,3,18,248,8.432138204574585,0.3833136061189351,1.1360228313417604,0.18873296486692512,0.626397222787112
twolocal,entangled,twolocal,renyi,4,2,3,3,19,269,9.666062355041504,0.37897562170920573,1.1436712362537482,0.18479318719556703,0.6275882879009824
twolocal,entangled,twolocal,renyi,4,2,3,3,20,292,10.982179403305054,0.4002522633100591,1.1038662565804045,0.15582359731103185,0.6283693897356746
twolocal,entangled,twolocal,renyi,4,2,3,3,21,317,12.499068260192871,0.4025610101259055,1.0982462520973597,0.14924809834263986,0.6412678882331875
twolocal,entangled,twolocal,renyi,4,2,3,3,22,345,14.304315328598022,0.38505103707495314,1.1383006578795654,0.14738105384812294,0.6748524063865913
twolocal,entangled,twolocal,renyi,4,2,3,3,23,372,16.085724353790283,0.37805805277400045,1.1515654153356674,0.12246267071127992,0.6823055379075095
twolocal,entangled,twolocal,renyi,4,2,3,3,24,400,17.994195222854614,0.41334058867917245,1.0915986252115908,0.12340305867971403,0.6823642272305825
twolocal,entangled,twolocal,renyi,4,2,3,3,25,430,20.204899072647095,0.4065796814221501,1.1120215328565244,0.15686778472052965,0.6916710991991911
twolocal,entangled,twolocal,renyi,4,2,3,3,26,459,22.43019700050354,0.42556434657676645,1.0777071108599394,0.16089153546284082,0.6922662969774458
twolocal,entangled,twolocal,renyi,4,2,3,3,27,488,24.723008155822754,0.4090035447765598,1.087938304964781,0.1397733865304015,0.7064020934823754
twolocal,entangled,twolocal,renyi,4,2,3,3,28,517,27.063412189483643,0.400043516351412,1.108518443906875,0.1416946365736253,0.710161291585971
twolocal,entangled,twolocal,renyi,4,2,3,3,29,549,29.713382244110107,0.40026661358187854,1.1021703689125435,0.13412231233161914,0.718099621984204
twolocal,entangled,twolocal,renyi,4,2,3,3,30,581,32.55562710762024,0.3617291919251183,1.1714082577491498,0.13369585879756266,0.7343558718046184
twolocal,entangled,twolocal,renyi,4,2,3,3,31,611,35.451818227767944,0.3488331330999346,1.1922013011903863,0.13178951258560356,0.7369201102253583
twolocal,entangled,twolocal,renyi,4,2,3,3,32,647,38.911065340042114,0.36876164585543075,1.1695938106409565,0.1449097627109977,0.745152233455086
twolocal,entangled,twolocal,renyi,4,2,3,3,33,680,42.147754430770874,0.37506779922951133,1.163185974255582,0.14548933739593553,0.7477213618537376
twolocal,entangled,twolocal,renyi,4,2,3,3,34,714,45.51350140571594,0.37082234795217395,1.1689448799422646,0.13344866547872603,0.7522285823330539
twolocal,entangled,twolocal,renyi,4,2,3,3,35,745,48.588194370269775,0.36750279342775505,1.1762952530683566,0.13161208238046027,0.7537967937028063
twolocal,entangled,twolocal,renyi,4,2,3,3,36,781,52.3035044670105,0.37345865913857523,1.1677758083859793,0.1346505377233524,0.7546674084832337
twolocal,entangled,twolocal,renyi,4,2,3,3,37,815,55.916170597076416,0.3719379186514893,1.1684246429111396,0.12836098655217687,0.7560835667587474
twolocal,entangled,twolocal,renyi,4,2,3,3,38,849,59.51387357711792,0.3676995909827755,1.1756473821591384,0.13049768336641626,0.7568856805914383
twolocal,entangled,twolocal,renyi,4,2,3,3,39,886,63.59695053100586,0.36763545822637,1.1760816307331072,0.12713161772617504,0.7576831693015371
