enum_H,enum_ψREF,enum_pool,enum_method,nV,nH,seed_H,seed_ψ,numparams,numiters,runtime,purity,entropy,distance,fidelity
twolocal,zipf_0.01,twolocal,overlap,3,2,1,1,0,0,0.0,0.2500763357090721,1.3861421101021059,0.13634697878927565,0.6490507973685785
twolocal,zipf_0.01,twolocal,overlap,3,2,1,1,1,5,0.003482818603515625,0.294277430231841,1.291918835514729,0.14789334319085515,0.7495516974660967
twolocal,zipf_0.01,twolocal,overlap,3,2,1,1,2,10,0.009721755981445312,0.304759094398647,1.2675571885594343,0.14774971819877322,0.7861717931943006
twolocal,zipf_0.01,twolocal,overlap,3,2,1,1,3,16,0.023268699645996094,0.3043552382759138,1.2695536014650581,0.14450808620044253,0.8026782546862994
twolocal,zipf_0.01,twolocal,overlap,3,2,1,1,4,23,0.041719675064086914,0.31127344570308485,1.2534727403927044,0.2105913405357391,0.8216743842934243
twolocal,zipf_0.01,twolocal,overlap,3,2,1,1,5,31,0.08183860778808594,0.2916473003100073,1.297938815848568,0.17772796004893462,0.8337272904766274
twolocal,zipf_0.01,twolocal,overlap,3,2,1,1,6,39,0.12846779823303223,0.28997425453399794,1.3018731861810386,0.1682263208465994,0.8494336060726757
twolocal,zipf_0.01,twolocal,overlap,3,2,1,1,7,47,0.17840790748596191,0.28451288855535056,1.3068196976034883,0.11364627307319163,0.8576731557049285
twolocal,zipf_0.01,twolocal,overlap,3,2,1,1,8,56,0.24312686920166016,0.2824129738468224,1.3120244971013424,0.11248542535570519,0.8664525751017174
twolocal,zipf_0.01,twolocal,overlap,3,2,1,1,9,65,0.3252899646759033,0.2838644594150843,1.3105283592329617,0.11066168010946291,0.8765286877303233
twolocal,zipf_0.01,twolocal,overlap,3,2,1,1,10,75,0.43404603004455566,0.27668859194444445,1.3290160220720186,0.09361585831706914,0.8889949963124739
twolocal,zipf_0.01,twolocal,overlap,3,2,1,1,11,86,0.5585861206054688,0.2817245507078521,1.3165537822563964,0.09655607698702985,0.8943237015254484
twolocal,zipf_0.01,twolocal,overlap,3,2,1,1,12,98,0.6958410739898682,0.279247180445993,1.322446647510476,0.09131200523109756,0.8973075136323706
twolocal,zipf_0.01,twolocal,overlap,3,2,1,1,13,109,0.8223550319671631,0.28348977720701485,1.3119719861254444,0.08982986521930195,0.9005890260177276
twolocal,zipf_0.01,twolocal,overlap,3,2,1,1,14,122,0.9938652515411377,0.28391291388478174,1.3134775607063032,0.08043734461007629,0.9038959339608958
twolocal,zipf_0.01,twolocal,overlap,3,2,1,1,15,134,1.1565403938293457,0.2887110103004473,1.3055647994549169,0.0810594551666429,0.9056423473781531
twolocal,zipf_0.01,twolocal,overlap,3,2,1,1,16,148,1.3461604118347168,0.29101238293271225,1.3026024197079582,0.05946039186475967,0.9089316808828046
twolocal,zipf_0.01,twolocal,overlap,3,2,1,1,17,162,1.5377764701843262,0.29460969559162,1.294931200038092,0.059020013754334785,0.91062328142034
twolocal,zipf_0.01,twolocal,overlap,3,2,1,1,18,177,1.777280569076538,0.297259297933008,1.2867662058228628,0.04717706003572486,0.9133153755013041
twolocal,zipf_0.01,twolocal,overlap,3,2,1,1,19,192,2.0243654251098633,0.2961031908642374,1.2867367957122902,0.05179527542400803,0.9149821731895528
twolocal,zipf_0.01,twolocal,overlap,3,2,1,1,20,208,2.310194253921509,0.2948618420245296,1.290625649402422,0.06606135541624472,0.9165006329378871
twolocal,zipf_0.01,twolocal,overlap,3,2,1,1,21,226,2.7058422565460205,0.2915465398988265,1.2985054201264363,0.07526813804400248,0.9176420677211574
twolocal,zipf_0.01,twolocal,overlap,3,2,1,1,22,246,3.1412084102630615,0.2938184994884945,1.2953224925759845,0.07141622142096636,0.9188645448422176
twolocal,zipf_0.01,twolocal,overlap,3,2,1,1,23,267,3.5872323513031006,0.29684196267011365,1.2867677952927679,0.07057999409671332,0.919719780820897
twolocal,zipf_0.01,twolocal,overlap,3,2,1,1,24,288,4.040339469909668,0.2955142632355086,1.2907988183082595,0.06690679964829385,0.9204677628274872
twolocal,zipf_0.01,twolocal,overlap,3,2,1,1,25,311,4.592982530593872,0.2945227033641792,1.2941560139234891,0.06533431019786544,0.9213614191907851
twolocal,zipf_0.01,twolocal,overlap,3,2,1,1,26,334,5.144265413284302,0.2955209051864837,1.291559217986039,0.06542948643770097,0.92171588375364
twolocal,zipf_0.01,twolocal,overlap,3,2,1,1,27,358,5.719966411590576,0.29492271796424735,1.292732114172034,0.055019494787347696,0.9221469718419387
twolocal,zipf_0.01,twolocal,overlap,3,2,1,1,28,381,6.310631513595581,0.2947155690575145,1.2922013539505537,0.052198002515937425,0.922509379278596
twolocal,zipf_0.01,twolocal,overlap,3,2,1,1,29,405,6.914509296417236,0.2958930232479651,1.2898359285682064,0.05095478292609029,0.9228009790062903
twolocal,zipf_0.01,twolocal,overlap,3,2,1,1,30,429,7.541771173477173,0.29393928184173646,1.2936595326763936,0.05046903447877286,0.9229778722506645
twolocal,zipf_0.01,twolocal,overlap,3,2,1,1,31,454,8.244989395141602,0.2941326742013912,1.2938758243422241,0.05045751973842234,0.9232169351605158
twolocal,zipf_0.01,twolocal,overlap,3,2,1,1,32,478,8.891687393188477,0.2944488831745895,1.2929627681098248,0.04891239711923341,0.923325311070895
twolocal,zipf_0.01,twolocal,overlap,3,2,1,1,33,505,9.647326469421387,0.2951034710592541,1.2915153500742989,0.0479584263439677,0.9234394352008867
twolocal,zipf_0.01,twolocal,overlap,3,2,1,1,34,532,10.396469593048096,0.2951942213637858,1.291426553074672,0.04674174391088945,0.9235075127750645
twolocal,zipf_0.01,twolocal,overlap,3,2,1,1,35,562,11.311309576034546,0.2969450779062923,1.2874782931932598,0.043829695624300655,0.9236978586642737
twolocal,zipf_0.01,twolocal,overlap,3,2,1,1,36,591,12.199037551879883,0.2970740135414518,1.2871854731576309,0.0463019197573981,0.9237937906659411
twolocal,zipf_0.01,twolocal,overlap,3,2,1,1,37,622,13.178093671798706,0.29729104898203035,1.2871364154631875,0.04645878739413128,0.9238562050630881
twolocal,zipf_0.01,twolocal,overlap,3,2,1,1,38,655,14.25240159034729,0.2966267491440712,1.2884079648477922,0.046187581033900166,0.9238930505282706
twolocal,zipf_0.01,twolocal,overlap,3,2,1,1,39,690,15.418385744094849,0.29703441302631917,1.287858918289873,0.04377346039795925,0.9239645587979961
twolocal,zipf_0.01,twolocal,overlap,3,2,1,1,40,723,16.56402087211609,0.29706252466371796,1.2879219185928266,0.04479231214829181,0.9239930097795841
twolocal,zipf_0.01,twolocal,overlap,3,2,1,1,41,759,17.797111749649048,0.2974217919839911,1.2871442968577065,0.046056867744324256,0.9240025662793298
