enum_H,enum_ψREF,enum_pool,enum_method,nV,nH,seed_H,seed_ψ,numparams,numiters,runtime,purity,entropy,distance,fidelity
twolocal,zipf_0.01,twolocal,renyi,3,3,1,1,0,0,0.0,0.12505573434033587,2.079219847749054,0.12787629963037966,0.8996394468315381
twolocal,zipf_0.01,twolocal,renyi,3,3,1,1,1,4,0.012053966522216797,0.13271378193716948,2.0481585446572965,0.1278762996303796,0.9066850107455091
twolocal,zipf_0.01,twolocal,renyi,3,3,1,1,2,10,0.04305291175842285,0.13767975999645637,2.0291419048262673,0.1306084259603973,0.9072665642931871
twolocal,zipf_0.01,twolocal,renyi,3,3,1,1,3,17,0.08428478240966797,0.14025270207713939,2.0187998551462627,0.12987057895231394,0.906400155322534
twolocal,zipf_0.01,twolocal,renyi,3,3,1,1,4,25,0.13940072059631348,0.14118101702349292,2.015303037358713,0.1309807289991918,0.9085942309366618
twolocal,zipf_0.01,twolocal,renyi,3,3,1,1,5,34,0.2291398048400879,0.14425040045670676,2.003166141029587,0.1323532281514645,0.9101535989606955
twolocal,zipf_0.01,twolocal,renyi,3,3,1,1,6,43,0.3321647644042969,0.14368187175313224,2.0062038272757237,0.1521199623818999,0.9108916146439773
twolocal,zipf_0.01,twolocal,renyi,3,3,1,1,7,54,0.4909069538116455,0.14458121179504624,2.0027778630867212,0.15786558647982746,0.9115836593983246
twolocal,zipf_0.01,twolocal,renyi,3,3,1,1,8,66,0.6740758419036865,0.14720980299514283,1.9921240797470952,0.15548177810560254,0.9148628514505835
twolocal,zipf_0.01,twolocal,renyi,3,3,1,1,9,78,0.8820838928222656,0.14795475323842483,1.9886618837221535,0.15394665164655486,0.9152956848912522
twolocal,zipf_0.01,twolocal,renyi,3,3,1,1,10,91,1.1353988647460938,0.14961490840449615,1.9797370949318565,0.1386613147837784,0.9172770820884455
twolocal,zipf_0.01,twolocal,renyi,3,3,1,1,11,105,1.434342861175537,0.15381960957241336,1.9619845645874887,0.12855321551933502,0.9168971795061057
twolocal,zipf_0.01,twolocal,renyi,3,3,1,1,12,121,1.8062798976898193,0.15986339824257292,1.9363638861967436,0.11992346195338809,0.9175561482732614
twolocal,zipf_0.01,twolocal,renyi,3,3,1,1,13,137,2.2491579055786133,0.16275322185755345,1.9224126522643723,0.11623336114000991,0.9182709659665631
twolocal,zipf_0.01,twolocal,renyi,3,3,1,1,14,153,2.7068870067596436,0.16358008937062302,1.9205183766854546,0.11145527648911563,0.9220295963690471
twolocal,zipf_0.01,twolocal,renyi,3,3,1,1,15,169,3.180332899093628,0.1717205513886355,1.8846968686718333,0.11278626883268554,0.9209639197826436
twolocal,zipf_0.01,twolocal,renyi,3,3,1,1,16,187,3.7644877433776855,0.17494998282517946,1.8734645299403943,0.12120654371732364,0.920443487147149
twolocal,zipf_0.01,twolocal,renyi,3,3,1,1,17,208,4.489783763885498,0.18405002770310194,1.8321756731948633,0.1254363322890143,0.9261732772550108
twolocal,zipf_0.01,twolocal,renyi,3,3,1,1,18,253,6.551360607147217,0.19258075487439466,1.7893775360960462,0.13647574123992517,0.93463497291789
twolocal,zipf_0.01,twolocal,renyi,3,3,1,1,19,273,7.333138704299927,0.19377245261831072,1.7925955216309735,0.12926799574358577,0.9465170144655488
twolocal,zipf_0.01,twolocal,renyi,3,3,1,1,20,293,8.139644861221313,0.18841588198407588,1.8094985679228508,0.11956874570510732,0.9507939537075838
twolocal,zipf_0.01,twolocal,renyi,3,3,1,1,21,318,9.191745042800903,0.1804861089113658,1.8284553590087755,0.09871345670827711,0.954993183583078
twolocal,zipf_0.01,twolocal,renyi,3,3,1,1,22,341,10.275384902954102,0.18590266739725467,1.8093936739361793,0.09650127362593125,0.9612098050507654
twolocal,zipf_0.01,twolocal,renyi,3,3,1,1,23,362,11.241934776306152,0.19130944803490735,1.7906253667889234,0.09927703123265212,0.9645118897685366
twolocal,zipf_0.01,twolocal,renyi,3,3,1,1,24,412,14.161973714828491,0.19745904591724114,1.8043393268492836,0.07602458856219725,0.9723775274511793
twolocal,zipf_0.01,twolocal,renyi,3,3,1,1,25,441,15.774165630340576,0.19371608539527047,1.8015306365395567,0.07909200230405086,0.9784352518494073
twolocal,zipf_0.01,twolocal,renyi,3,3,1,1,26,467,17.185781717300415,0.19146794790203928,1.8085157053891205,0.0901950252535874,0.9789856636544054
twolocal,zipf_0.01,twolocal,renyi,3,3,1,1,27,494,18.684058666229248,0.19572029226183127,1.7949417800770344,0.07332015577677017,0.9820859786455121
twolocal,zipf_0.01,twolocal,renyi,3,3,1,1,28,522,20.27894377708435,0.20678212341980107,1.759192930279924,0.061768405289918046,0.9847244997677748
twolocal,zipf_0.01,twolocal,renyi,3,3,1,1,29,554,22.185871839523315,0.2165259345940939,1.7322116968942094,0.049790436388083274,0.9859581698190416
twolocal,zipf_0.01,twolocal,renyi,3,3,1,1,30,583,23.92852783203125,0.2185456468308917,1.7248448543266552,0.045633074605543666,0.9873804188281314
twolocal,zipf_0.01,twolocal,renyi,3,3,1,1,31,612,25.75019073486328,0.2165210974739464,1.7307363161226952,0.03554874574033093,0.9891791219122374
twolocal,zipf_0.01,twolocal,renyi,3,3,1,1,32,643,27.735034704208374,0.2189191393240891,1.724264425656998,0.03751744762596582,0.9910911085665092
twolocal,zipf_0.01,twolocal,renyi,3,3,1,1,33,674,29.78146266937256,0.21308105617570372,1.7413370273521787,0.040824461793135224,0.9921414865025252
twolocal,zipf_0.01,twolocal,renyi,3,3,1,1,34,706,31.98688554763794,0.2089877628103726,1.7571630281162274,0.036753782285492365,0.99310725272535
twolocal,zipf_0.01,twolocal,renyi,3,3,1,1,35,737,34.15518641471863,0.21237046145435517,1.7499879189724323,0.032402406491339464,0.9937473857571303
